Record	Plot	Row	Column	Cp	Csp	Entry	Year	Location	Genotype	Trait	Value
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	STD	2.93	
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	V1	3.97	
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	V2	3.42	
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	V3	2.63	
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	W1	2.14	
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	W2	3.89	
659	134	1	4	0	0	659	2019	Preston	NxB-RIL-374-4	W3	4.49	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	STD	2.93	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	V1	2.97	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	V2	2.42	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	V3	1.63	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	W1	0	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	W2	4.89	
145	135	1	4	0	0	145	2019	Preston	BxN-RIL-352-28	W3	1.49	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	STD	2.93	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	V1	3.97	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	V2	3.42	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	V3	2.63	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	W1	5.14	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	W2	4.89	
339	136	1	4	0	0	339	2019	Preston	BxN-RIL-360-31	W3	3.49	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	STD	1.67	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	V1	1.97	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	V2	2.42	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	V3	0.63	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	W1	0	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	W2	4.13	
202	137	1	5	0	0	202	2019	Preston	BxN-RIL-355-14	W3	2.04	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	STD	2.67	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	V1	3.97	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	V2	4.42	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	V3	3.63	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	W1	1.2	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	W2	6.13	
206	138	1	5	0	0	206	2019	Preston	BxN-RIL-355-20	W3	6.04	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	STD	2.67	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	V1	3.97	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	V2	2.42	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	V3	3.63	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	W1	4.2	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	W2	3.13	
376	139	1	5	0	0	376	2019	Preston	NxB-RIL-362-5	W3	5.04	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	STD	3.67	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	V1	3.97	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	V2	4.42	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	V3	3.63	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	W1	6.2	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	W2	3.13	
677	140	1	5	0	0	677	2019	Preston	NxB-RIL-374-26	W3	6.04	
715	141	1	5	1	0	715	2019	Preston	NorLin	STD	3.67	
715	141	1	5	1	0	715	2019	Preston	NorLin	V1	2.97	
715	141	1	5	1	0	715	2019	Preston	NorLin	V2	3.42	
715	141	1	5	1	0	715	2019	Preston	NorLin	V3	2.63	
715	141	1	5	1	0	715	2019	Preston	NorLin	W1	0	
715	141	1	5	1	0	715	2019	Preston	NorLin	W2	5.13	
715	141	1	5	1	0	715	2019	Preston	NorLin	W3	2.04	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	STD	1.67	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	V1	1.97	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	V2	4.42	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	V3	2.63	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	W1	0	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	W2	6.13	
439	142	1	5	0	0	439	2019	Preston	NxB-RIL-364-25	W3	2.04	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	STD	1.67	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	V1	1.97	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	V2	2.42	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	V3	1.63	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	W1	1.2	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	W2	2.13	
59	143	1	5	0	0	59	2019	Preston	BxN-RIL-348-16	W3	4.04	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	STD	0.67	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	V1	0.97	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	V2	2.42	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	V3	0.63	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	W1	0	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	W2	3.13	
535	144	1	5	0	0	535	2019	Preston	NxB-RIL-369-1	W3	0	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	STD	1.67	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	V1	1.97	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	V2	2.42	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	V3	1.63	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	W1	0	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	W2	3.13	
135	145	1	5	0	0	135	2019	Preston	BxN-RIL-352-16	W3	0	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	STD	0.93	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	V1	1.85	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	V2	1.8	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	V3	2.63	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	W1	0	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	W2	4.51	
33	146	1	6	0	0	33	2019	Preston	BxN-RIL-347-11	W3	0	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	STD	2.93	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	V1	2.85	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	V2	2.8	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	V3	1.63	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	W1	4.2	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	W2	4.51	
702	147	1	6	0	0	702	2019	Preston	NxB-RIL-375-21	W3	0	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	STD	1.93	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	V1	1.85	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	V2	2.8	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	V3	2.63	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	W1	0	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	W2	4.51	
24	148	1	6	0	0	24	2019	Preston	BxN-RIL-347-2	W3	4.11	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	STD	1.93	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	V1	2.85	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	V2	2.8	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	V3	3.63	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	W1	0	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	W2	3.51	
233	149	1	6	0	0	233	2019	Preston	BxN-RIL-357-1	W3	4.11	
715	150	1	6	1	0	715	2019	Preston	NorLin	STD	2.93	
715	150	1	6	1	0	715	2019	Preston	NorLin	V1	3.85	
715	150	1	6	1	0	715	2019	Preston	NorLin	V2	2.8	
715	150	1	6	1	0	715	2019	Preston	NorLin	V3	2.63	
