"Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value","ID","IDROW","IDCOL","IDX","IDROWCOL","adjmth1","adjmth3","control_genotypes"
715,186,2,1,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_1","2019_Preston_W2","2019_Preston_W2_2_1",3.9,3.89440277155794,0
715,186,2,1,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_1","2019_Preston_W3","2019_Preston_W3_2_1",0,0,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_2","2019_Preston_STD","2019_Preston_STD_2_2",2.92222222222222,2.9328763348507,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","V1",2,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_2","2019_Preston_V1","2019_Preston_V1_2_2",1.7,2.08651828334684,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_2","2019_Preston_V2","2019_Preston_V2_2_2",1.76666666666667,2.80282946626847,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_2","2019_Preston_V3","2019_Preston_V3_2_2",1.95555555555556,2.15028039284054,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_2","2019_Preston_W1","2019_Preston_W1_2_2",0,0,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_2","2019_Preston_W2","2019_Preston_W2_2_2",3.7,3.89440277155794,0
715,195,2,2,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_2","2019_Preston_W3","2019_Preston_W3_2_2",0,0,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_3","2019_Preston_STD","2019_Preston_STD_2_3",2.82222222222222,2.9328763348507,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_3","2019_Preston_V1","2019_Preston_V1_2_3",2.5,2.97029969377646,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_3","2019_Preston_V2","2019_Preston_V2_2_3",3.06666666666667,3.41706103070679,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_3","2019_Preston_V3","2019_Preston_V3_2_3",2.75555555555556,2.6300790330079,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_3","2019_Preston_W1","2019_Preston_W1_2_3",0,0,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","W2",6,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_3","2019_Preston_W2","2019_Preston_W2_2_3",5,5.13410272677514,0
715,204,2,3,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_3","2019_Preston_W3","2019_Preston_W3_2_3",1.21111111111111,1.26465702036442,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","STD",4,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_4","2019_Preston_STD","2019_Preston_STD_2_4",3.82222222222222,3.67021851470125,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_4","2019_Preston_V1","2019_Preston_V1_2_4",3.6,3.85408110420607,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_4","2019_Preston_V2","2019_Preston_V2_2_4",2.96666666666667,3.41706103070679,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_4","2019_Preston_V3","2019_Preston_V3_2_4",3.15555555555556,2.6300790330079,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","W1",1,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_4","2019_Preston_W1","2019_Preston_W1_2_4",1.68888888888889,1.12688440311484,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_4","2019_Preston_W2","2019_Preston_W2_2_4",3.9,4.51425274916654,0
715,213,2,4,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_4","2019_Preston_W3","2019_Preston_W3_2_4",2.11111111111111,2.03113612004287,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_5","2019_Preston_STD","2019_Preston_STD_2_5",2.72222222222222,2.9328763348507,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_5","2019_Preston_V1","2019_Preston_V1_2_5",2.9,2.97029969377646,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_5","2019_Preston_V2","2019_Preston_V2_2_5",2.76666666666667,2.80282946626847,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_5","2019_Preston_V3","2019_Preston_V3_2_5",2.45555555555556,2.15028039284054,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_5","2019_Preston_W1","2019_Preston_W1_2_5",0,0,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_5","2019_Preston_W2","2019_Preston_W2_2_5",4.1,4.51425274916654,0
715,222,2,5,1,0,715,2019,"Preston","NorLin","W3",3,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_5","2019_Preston_W3","2019_Preston_W3_2_5",4.01111111111111,2.79761521972133,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_6","2019_Preston_STD","2019_Preston_STD_2_6",3.52222222222222,2.9328763348507,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_6","2019_Preston_V1","2019_Preston_V1_2_6",3.1,2.97029969377646,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_6","2019_Preston_V2","2019_Preston_V2_2_6",2.96666666666667,2.80282946626847,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_6","2019_Preston_V3","2019_Preston_V3_2_6",2.15555555555556,2.15028039284054,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_6","2019_Preston_W1","2019_Preston_W1_2_6",0,0,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_6","2019_Preston_W2","2019_Preston_W2_2_6",3.1,3.89440277155794,0
715,231,2,6,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_6","2019_Preston_W3","2019_Preston_W3_2_6",1.71111111111111,1.26465702036442,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","STD",2,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_7","2019_Preston_STD","2019_Preston_STD_2_7",2.12222222222222,2.19553415500014,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_7","2019_Preston_V1","2019_Preston_V1_2_7",2.8,2.97029969377646,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_7","2019_Preston_V2","2019_Preston_V2_2_7",2.36666666666667,2.80282946626847,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_7","2019_Preston_V3","2019_Preston_V3_2_7",1.95555555555556,2.15028039284054,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_7","2019_Preston_W1","2019_Preston_W1_2_7",0,0,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_7","2019_Preston_W2","2019_Preston_W2_2_7",3,3.89440277155794,0
715,240,2,7,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_7","2019_Preston_W3","2019_Preston_W3_2_7",2.11111111111111,2.03113612004287,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","STD",2,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_8","2019_Preston_STD","2019_Preston_STD_2_8",2.32222222222222,2.19553415500014,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_8","2019_Preston_V1","2019_Preston_V1_2_8",3,2.97029969377646,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","V2",2,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_8","2019_Preston_V2","2019_Preston_V2_2_8",1.46666666666667,2.18859790183016,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_8","2019_Preston_V3","2019_Preston_V3_2_8",1.95555555555556,2.15028039284054,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","W1",4,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_8","2019_Preston_W1","2019_Preston_W1_2_8",4.88888888888889,3.46806154078778,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_8","2019_Preston_W2","2019_Preston_W2_2_8",3.4,3.89440277155794,0
715,249,2,8,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_8","2019_Preston_W3","2019_Preston_W3_2_8",1.71111111111111,1.26465702036442,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","STD",2,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_9","2019_Preston_STD","2019_Preston_STD_2_9",2.12222222222222,2.19553415500014,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","V1",2,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_9","2019_Preston_V1","2019_Preston_V1_2_9",1.8,2.08651828334684,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_9","2019_Preston_V2","2019_Preston_V2_2_9",2.46666666666667,2.80282946626847,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_9","2019_Preston_V3","2019_Preston_V3_2_9",2.65555555555556,2.6300790330079,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_9","2019_Preston_W1","2019_Preston_W1_2_9",0,0,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_9","2019_Preston_W2","2019_Preston_W2_2_9",3.4,3.89440277155794,0
715,258,2,9,1,0,715,2019,"Preston","NorLin","W3",4,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_9","2019_Preston_W3","2019_Preston_W3_2_9",3.81111111111111,3.56409431939979,0
715,267,3,1,1,0,715,2019,"Preston","NorLin","STD",1,"2019_Preston_NorLin","2019_Preston_STD_3","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_3_1",1.32222222222222,1.45819197514959,0
