"Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value","ID","IDROW","IDCOL","IDX","IDROWCOL","adjmth1","adjmth3","adjmth13","IDXGT"
715,132,1,4,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_4","2019_Preston_STD","2019_Preston_STD_1_4",2.37777777777778,2.9328763348507,2.31065411262847,"2019_Preston_STD_NorLin"
715,132,1,4,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_4","2019_Preston_V1","2019_Preston_V1_1_4",2.15555555555556,2.97029969377646,2.12585524933201,"2019_Preston_V1_NorLin"
715,132,1,4,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_4","2019_Preston_V2","2019_Preston_V2_1_4",2.41111111111111,3.41706103070679,2.21394057737959,"2019_Preston_V2_NorLin"
715,132,1,4,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_4","2019_Preston_V3","2019_Preston_V3_1_4",2.37777777777778,2.6300790330079,2.00785681078568,"2019_Preston_V3_NorLin"
715,132,1,4,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_4","2019_Preston_W1","2019_Preston_W1_1_4",0,0,0,"2019_Preston_W1_NorLin"
715,132,1,4,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_4","2019_Preston_W2","2019_Preston_W2_1_4",2.45555555555556,3.89440277155794,2.7301083495049,"2019_Preston_W2_NorLin"
715,132,1,4,1,0,715,2019,"Preston","NorLin","W3",4,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_4","2019_Preston_W3","2019_Preston_W3_1_4",4.22222222222222,3.56409431939979,4.01983744194355,"2019_Preston_W3_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","STD",4,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_5","2019_Preston_STD","2019_Preston_STD_1_5",3.27777777777778,3.67021851470125,3.21065411262847,"2019_Preston_STD_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_5","2019_Preston_V1","2019_Preston_V1_1_5",2.45555555555556,2.97029969377646,2.42585524933201,"2019_Preston_V1_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_5","2019_Preston_V2","2019_Preston_V2_1_5",3.21111111111111,3.41706103070679,3.01394057737959,"2019_Preston_V2_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_5","2019_Preston_V3","2019_Preston_V3_1_5",2.67777777777778,2.6300790330079,2.30785681078568,"2019_Preston_V3_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_5","2019_Preston_W1","2019_Preston_W1_1_5",0,0,0,"2019_Preston_W1_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","W2",6,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_5","2019_Preston_W2","2019_Preston_W2_1_5",4.65555555555556,5.13410272677514,4.9301083495049,"2019_Preston_W2_NorLin"
715,141,1,5,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_5","2019_Preston_W3","2019_Preston_W3_1_5",3.12222222222222,2.03113612004287,2.91983744194355,"2019_Preston_W3_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_6","2019_Preston_STD","2019_Preston_STD_1_6",3.07777777777778,2.9328763348507,3.01065411262848,"2019_Preston_STD_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_6","2019_Preston_V1","2019_Preston_V1_1_6",3.65555555555556,3.85408110420607,3.62585524933201,"2019_Preston_V1_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_6","2019_Preston_V2","2019_Preston_V2_1_6",2.41111111111111,2.80282946626847,2.21394057737959,"2019_Preston_V2_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_6","2019_Preston_V3","2019_Preston_V3_1_6",2.37777777777778,2.6300790330079,2.00785681078568,"2019_Preston_V3_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_6","2019_Preston_W1","2019_Preston_W1_1_6",0,0,0,"2019_Preston_W1_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_6","2019_Preston_W2","2019_Preston_W2_1_6",3.65555555555556,4.51425274916654,3.9301083495049,"2019_Preston_W2_NorLin"
715,150,1,6,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_6","2019_Preston_W3","2019_Preston_W3_1_6",0,0,0,"2019_Preston_W3_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_7","2019_Preston_STD","2019_Preston_STD_1_7",2.67777777777778,2.9328763348507,2.61065411262847,"2019_Preston_STD_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_7","2019_Preston_V1","2019_Preston_V1_1_7",3.35555555555556,3.85408110420607,3.32585524933201,"2019_Preston_V1_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_7","2019_Preston_V2","2019_Preston_V2_1_7",2.81111111111111,3.41706103070679,2.61394057737959,"2019_Preston_V2_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_7","2019_Preston_V3","2019_Preston_V3_1_7",2.17777777777778,2.6300790330079,1.80785681078568,"2019_Preston_V3_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_7","2019_Preston_W1","2019_Preston_W1_1_7",0,0,0,"2019_Preston_W1_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_7","2019_Preston_W2","2019_Preston_W2_1_7",3.55555555555556,4.51425274916654,3.8301083495049,"2019_Preston_W2_NorLin"
715,159,1,7,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_7","2019_Preston_W3","2019_Preston_W3_1_7",2.22222222222222,2.03113612004287,2.01983744194355,"2019_Preston_W3_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_8","2019_Preston_STD","2019_Preston_STD_1_8",2.87777777777778,2.9328763348507,2.81065411262847,"2019_Preston_STD_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_8","2019_Preston_V1","2019_Preston_V1_1_8",3.55555555555556,3.85408110420607,3.52585524933201,"2019_Preston_V1_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_8","2019_Preston_V2","2019_Preston_V2_1_8",2.91111111111111,3.41706103070679,2.71394057737959,"2019_Preston_V2_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","V3",4,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_8","2019_Preston_V3","2019_Preston_V3_1_8",3.17777777777778,3.10987767317527,2.80785681078568,"2019_Preston_V3_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_8","2019_Preston_W1","2019_Preston_W1_1_8",0,0,0,"2019_Preston_W1_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_8","2019_Preston_W2","2019_Preston_W2_1_8",2.95555555555556,3.89440277155794,3.2301083495049,"2019_Preston_W2_NorLin"
715,168,1,8,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_8","2019_Preston_W3","2019_Preston_W3_1_8",1.82222222222222,1.26465702036442,1.61983744194355,"2019_Preston_W3_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_9","2019_Preston_STD","2019_Preston_STD_1_9",2.67777777777778,2.9328763348507,2.61065411262847,"2019_Preston_STD_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_9","2019_Preston_V1","2019_Preston_V1_1_9",2.35555555555556,2.97029969377646,2.32585524933201,"2019_Preston_V1_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_9","2019_Preston_V2","2019_Preston_V2_1_9",1.91111111111111,2.80282946626847,1.71394057737959,"2019_Preston_V2_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_9","2019_Preston_V3","2019_Preston_V3_1_9",1.87777777777778,2.6300790330079,1.50785681078568,"2019_Preston_V3_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_9","2019_Preston_W1","2019_Preston_W1_1_9",0,0,0,"2019_Preston_W1_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","W2",7,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_9","2019_Preston_W2","2019_Preston_W2_1_9",5.95555555555556,5.75395270438374,6.2301083495049,"2019_Preston_W2_NorLin"
715,177,1,9,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_9","2019_Preston_W3","2019_Preston_W3_1_9",1.92222222222222,2.03113612004287,1.71983744194355,"2019_Preston_W3_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","STD",2,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_2_1",2.32222222222222,2.19553415500014,2.25509855707292,"2019_Preston_STD_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_2_1",3.3,2.97029969377646,3.27029969377646,"2019_Preston_V1_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_2_1",2.56666666666667,2.80282946626847,2.36949613293514,"2019_Preston_V2_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","V3",1,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_1","2019_Preston_V3","2019_Preston_V3_2_1",1.55555555555556,1.67048175267318,1.18563458856346,"2019_Preston_V3_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","W1",1,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_1","2019_Preston_W1","2019_Preston_W1_2_1",1.28888888888889,1.12688440311484,0.976558050452357,"2019_Preston_W1_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_1","2019_Preston_W2","2019_Preston_W2_2_1",3.9,3.89440277155794,4.17455279394935,"2019_Preston_W2_NorLin"
715,186,2,1,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_1","2019_Preston_W3","2019_Preston_W3_2_1",0,0,0,"2019_Preston_W3_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_2","2019_Preston_STD","2019_Preston_STD_2_2",2.92222222222222,2.9328763348507,2.85509855707292,"2019_Preston_STD_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","V1",2,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_2","2019_Preston_V1","2019_Preston_V1_2_2",1.7,2.08651828334684,1.67029969377646,"2019_Preston_V1_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_2","2019_Preston_V2","2019_Preston_V2_2_2",1.76666666666667,2.80282946626847,1.56949613293514,"2019_Preston_V2_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_2","2019_Preston_V3","2019_Preston_V3_2_2",1.95555555555556,2.15028039284054,1.58563458856346,"2019_Preston_V3_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_2","2019_Preston_W1","2019_Preston_W1_2_2",0,0,0,"2019_Preston_W1_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_2","2019_Preston_W2","2019_Preston_W2_2_2",3.7,3.89440277155794,3.97455279394935,"2019_Preston_W2_NorLin"
715,195,2,2,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_2","2019_Preston_W3","2019_Preston_W3_2_2",0,0,0,"2019_Preston_W3_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_3","2019_Preston_STD","2019_Preston_STD_2_3",2.82222222222222,2.9328763348507,2.75509855707292,"2019_Preston_STD_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_3","2019_Preston_V1","2019_Preston_V1_2_3",2.5,2.97029969377646,2.47029969377646,"2019_Preston_V1_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_3","2019_Preston_V2","2019_Preston_V2_2_3",3.06666666666667,3.41706103070679,2.86949613293514,"2019_Preston_V2_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_3","2019_Preston_V3","2019_Preston_V3_2_3",2.75555555555556,2.6300790330079,2.38563458856346,"2019_Preston_V3_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_3","2019_Preston_W1","2019_Preston_W1_2_3",0,0,0,"2019_Preston_W1_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","W2",6,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_3","2019_Preston_W2","2019_Preston_W2_2_3",5,5.13410272677514,5.27455279394935,"2019_Preston_W2_NorLin"
715,204,2,3,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_3","2019_Preston_W3","2019_Preston_W3_2_3",1.21111111111111,1.26465702036442,1.00872633083244,"2019_Preston_W3_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","STD",4,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_4","2019_Preston_STD","2019_Preston_STD_2_4",3.82222222222222,3.67021851470125,3.75509855707292,"2019_Preston_STD_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_4","2019_Preston_V1","2019_Preston_V1_2_4",3.6,3.85408110420607,3.57029969377646,"2019_Preston_V1_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_4","2019_Preston_V2","2019_Preston_V2_2_4",2.96666666666667,3.41706103070679,2.76949613293514,"2019_Preston_V2_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_4","2019_Preston_V3","2019_Preston_V3_2_4",3.15555555555556,2.6300790330079,2.78563458856346,"2019_Preston_V3_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","W1",1,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_4","2019_Preston_W1","2019_Preston_W1_2_4",1.68888888888889,1.12688440311484,1.37655805045236,"2019_Preston_W1_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_4","2019_Preston_W2","2019_Preston_W2_2_4",3.9,4.51425274916654,4.17455279394935,"2019_Preston_W2_NorLin"
715,213,2,4,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_4","2019_Preston_W3","2019_Preston_W3_2_4",2.11111111111111,2.03113612004287,1.90872633083244,"2019_Preston_W3_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_5","2019_Preston_STD","2019_Preston_STD_2_5",2.72222222222222,2.9328763348507,2.65509855707292,"2019_Preston_STD_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_5","2019_Preston_V1","2019_Preston_V1_2_5",2.9,2.97029969377646,2.87029969377646,"2019_Preston_V1_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_5","2019_Preston_V2","2019_Preston_V2_2_5",2.76666666666667,2.80282946626847,2.56949613293514,"2019_Preston_V2_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_5","2019_Preston_V3","2019_Preston_V3_2_5",2.45555555555556,2.15028039284054,2.08563458856346,"2019_Preston_V3_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_5","2019_Preston_W1","2019_Preston_W1_2_5",0,0,0,"2019_Preston_W1_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_5","2019_Preston_W2","2019_Preston_W2_2_5",4.1,4.51425274916654,4.37455279394934,"2019_Preston_W2_NorLin"
715,222,2,5,1,0,715,2019,"Preston","NorLin","W3",3,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_5","2019_Preston_W3","2019_Preston_W3_2_5",4.01111111111111,2.79761521972133,3.80872633083244,"2019_Preston_W3_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_6","2019_Preston_STD","2019_Preston_STD_2_6",3.52222222222222,2.9328763348507,3.45509855707292,"2019_Preston_STD_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_6","2019_Preston_V1","2019_Preston_V1_2_6",3.1,2.97029969377646,3.07029969377646,"2019_Preston_V1_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_6","2019_Preston_V2","2019_Preston_V2_2_6",2.96666666666667,2.80282946626847,2.76949613293514,"2019_Preston_V2_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_6","2019_Preston_V3","2019_Preston_V3_2_6",2.15555555555556,2.15028039284054,1.78563458856346,"2019_Preston_V3_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_6","2019_Preston_W1","2019_Preston_W1_2_6",0,0,0,"2019_Preston_W1_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_2","2019_Preston_W2_6","2019_Preston_W2","2019_Preston_W2_2_6",3.1,3.89440277155794,3.37455279394935,"2019_Preston_W2_NorLin"
715,231,2,6,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_2","2019_Preston_W3_6","2019_Preston_W3","2019_Preston_W3_2_6",1.71111111111111,1.26465702036442,1.50872633083244,"2019_Preston_W3_NorLin"
